,is_home,is_home
,count,home_tweet_ratio
codigo,,
20011013.0,4737,0.2719020477095208
20011014.0,1784,0.0952914798206278
20011101.0,1353,0.2690317812269032
20011102.0,3342,0.03590664272890485
20011103.0,2034,0.3023598820058997
20011104.0,1142,0.10770577933450087
20011105.0,569,0.15289982425307558
20011106.0,2682,0.4086502609992543
20011107.0,954,0.1530398322851153
20011108.0,2307,0.38491547464239273
20011109.0,844,0.10545023696682465
20011110.0,592,0.125
20011111.0,1321,0.2331566994700984
20011112.0,2953,0.44937351845580764
20011113.0,822,0.22384428223844283
20011114.0,1788,0.342841163310962
20011201.0,1784,0.3066143497757848
20011202.0,1032,0.4050387596899225
20011203.0,3457,0.04454729534278276
20011204.0,1146,0.4694589877835951
20011205.0,2318,0.22217428817946505
20011206.0,1324,0.0
20011207.0,2568,0.17328660436137072
20011208.0,1128,0.012411347517730497
20011209.0,17404,0.22448862330498737
20011210.0,3909,0.16091071885392683
20011211.0,19476,0.18253234750462108
20011212.0,2726,0.2164343360234776
20011301.0,9490,0.22065331928345627
20011302.0,51,0.0
20011303.0,418,0.04784688995215311
20011304.0,12813,0.08561617107625068
20011305.0,1351,0.42709104367135453
20011306.0,1350,0.10518518518518519
20011307.0,454,0.526431718061674
20011308.0,558,0.13978494623655913
20011309.0,2228,0.25673249551166966
20011310.0,2148,0.33054003724394787
20011311.0,790,0.5392405063291139
20011312.0,1482,0.5080971659919028
20011313.0,6418,0.14381427235899033
20011314.0,6387,0.11617347737591983
20011315.0,798,0.39097744360902253
20011401.0,9143,0.1851689817346604
20011402.0,8589,0.14204214693212247
20011403.0,1568,0.2582908163265306
20011404.0,310,0.27741935483870966
20011405.0,3051,0.2999016715830875
20011406.0,1429,0.4079776067179846
20011407.0,3196,0.17459324155193992
20011408.0,2708,0.2034711964549483
20011409.0,1114,0.10233393177737882
20011410.0,1912,0.04864016736401674
20011411.0,1045,0.46220095693779906
20011412.0,1200,0.5741666666666667
20011501.0,9154,0.14911514092200132
20011502.0,6711,0.33154522425867977
20011503.0,2814,0.22032693674484718
20011504.0,1385,0.11407942238267148
20011505.0,2299,0.45367551109177906
20011506.0,1550,0.1432258064516129
20011507.0,872,0.44036697247706424
20011508.0,1771,0.5804630152456239
20011509.0,1802,0.3568257491675916
20011510.0,2489,0.6625150662916834
20011511.0,1355,0.659040590405904
20011601.0,3772,0.1365323435843054
20011602.0,665,0.26766917293233083
20011603.0,3492,0.14232531500572737
20011604.0,680,0.6338235294117647
20011605.0,362,0.22099447513812154
20011606.0,548,0.34124087591240876
